page_name,thread_subject,discussion_id,group_size,users
WikidataRequestsfordeletionsArchive20171001.json,[[Wikidata:Autobiography]],WikidataRequestsfordeletionsArchive20171001.json || [[Wikidata:Autobiography]],21,ArthurPSmith ; BrillLyle ; ChristianKl ; D1gggg ; Deryck Chan ; Egon Willighagen ; GZWDer ; Gerda Arendt ; Jasper Deng ; Jura1 ; Mahir256 ; Montanabw ; Pasleim ; Pigsonthewing ; PokestarFan ; RexxS ; Rschen7754 ; Sjoerddebruin ; Succu ; Tagishsimon ; ValterVB
WikidataRequestsfordeletionsArchive20130315.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130315.json || Bulk deletion request: Empty items,16,Bene* ; Delusion23 ; Eric-92 ; Inkowik ; Jon Harald Søby ; Karol007 ; Legobot ; Legoktm ; Nouill ; PinkAmpersand ; Romaine ; Sk!d ; Stryn ; Wiki13 ; Ymblanter ; 분당선M
WikidataRequestsfordeletionsArchive20130316.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130316.json || Bulk deletion request: Empty items,14,Ajraddatz ; Bene* ; Delusion23 ; Hazard-SJ ; Legobot ; Moe Epsilon ; PinkAmpersand ; Romaine ; Sotiale ; Stryn ; ValterVB ; Wagino 20100516 ; Whym ; Ymblanter
WikidataRequestsfordeletionsArchive20130328.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130328.json || Bulk deletion request: Empty items,13,Bill william compton ; Delusion23 ; Inkowik ; Karol007 ; Legobot ; Lukas²³ ; Mabdul ; Stryn ; Vituzzu ; Vogone ; Wagino 20100516 ; Wiki13 ; 분당선M
WikidataRequestsfordeletionsArchive20180518.json,Arbitrary break 1,WikidataRequestsfordeletionsArchive20180518.json || Arbitrary break 1,13,Anonymous_username_970 ; BrillLyle ; ChristianKl ; GerardM ; Heathart ; Jura1 ; LeadSongDog ; MisterSynergy ; Pasleim ; Pharos ; Pigsonthewing ; SashiRolls ; ValterVB
WikidataRequestsfordeletionsArchive20191014.json,[[Q16200931]],WikidataRequestsfordeletionsArchive20191014.json || [[Q16200931]],13,2001:8003:5999:6D00:4556:21A9:15E6:6959 ; 2001:8003:5999:6D00:84B3:33E1:629:5A26 ; 2001:8003:5999:6D00:99A7:C58:E525:836A ; 2001:8003:5999:6D00:99B4:95B:D278:ABCE ; 2001:8003:5999:6D00:D403:7AFC:BACB:1782 ; 2001:8003:5999:6D00:D4D:B5BA:2D0A:3835 ; 2001:8003:5999:6D00:D5CE:C140:8863:3D17 ; 2001:8003:5999:6D00:D9C7:5941:7D59:CD4 ; 2001:8003:5999:6D00:F15E:FC7D:42F4:373C ; 2001:8003:5999:6D00:F561:95E:11A6:9432 ; DeltaBot ; Quakewoody ; TLPG
WikidataRequestsfordeletionsArchive20191212.json,[[Q59278656]],WikidataRequestsfordeletionsArchive20191212.json || [[Q59278656]],13,ChristianKl ; Cycn ; DeltaBot ; E4024 ; Jura1 ; Liuxinyu970226 ; Marcus Cyron ; Mike Peel ; MisterSynergy ; Notafish ; Oleryhlolsson ; Taketa ; VIGNERON
WikidataRequestsfordeletionsArchive20170701.json,Dictionary entries,WikidataRequestsfordeletionsArchive20170701.json || Dictionary entries,12,ChristianKl ; Infovarius ; Inserted with Template:Unsigned--> ; Jura1 ; Lydia Pintscher (WMDE) ; Lymantria ; MisterSynergy ; QZanden ; Schekinov Alexey Victorovich ; Sjoerddebruin ; Vladis13 ; XXN
WikidataRequestsfordeletionsArchive20181209.json,[[Q55416440]],WikidataRequestsfordeletionsArchive20181209.json || [[Q55416440]],12,Ajraddatz ; Deryck Chan ; Jura1 ; Liuxinyu970226 ; Lymantria ; Mahir256 ; Mike Peel ; MisterSynergy ; Multichill ; Pasleim ; Pigsonthewing ; Steak
WikidataRequestsfordeletionsArchive20211103.json,[[Q65658519]],WikidataRequestsfordeletionsArchive20211103.json || [[Q65658519]],12,2003:DA:1707:C869:28A3:78A5:7ADD:31BB ; 2003:DA:1709:D939:718D:DD49:B539:EDA ; 2003:DA:170B:EBDC:4C86:F2FA:28E2:5A77 ; 2003:DA:1710:9C1A:5965:8DB4:7DE7:1B41 ; 2003:DA:1719:3E3B:3869:F0B2:E257:ADC6 ; DeltaBot ; E4024 ; Marcus Cyron ; Mike Peel ; Richard Arthur Norton (1958- ) ; Whym ; Wolverène
WikidataRequestsfordeletionsArchive20130321.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130321.json || Bulk deletion request: Empty items,11,Inkowik ; Iste Praetor ; Karol007 ; Legobot ; Ricordisamoa ; Rzuwig ; Stryn ; ValterVB ; Wagino 20100516 ; Ymblanter ; 분당선M
WikidataRequestsfordeletionsArchive20130324.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130324.json || Bulk deletion request: Empty items,11,Ajraddatz ; Bill william compton ; Delusion23 ; Docu ; Hazard-SJ ; Jitrixis ; Legobot ; Lukas²³ ; ValterVB ; Vogone ; 분당선M
WikidataRequestsfordeletionsArchive20130326.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130326.json || Bulk deletion request: Empty items,11,Ajraddatz ; Bill william compton ; DaniDF1995 ; Holger1959 ; Izno ; Legobot ; Silvonen ; Stryn ; Wagino 20100516 ; Ymblanter ; 분당선M
WikidataRequestsfordeletionsArchive20130331.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130331.json || Bulk deletion request: Empty items,11,Bill william compton ; Dark Eagle ; Delusion23 ; Inkowik ; Legobot ; Lukas²³ ; Moe Epsilon ; Sk!d ; Stryn ; ValterVB ; Vogone
WikidataRequestsfordeletionsArchive20171217.json,Artist of Black Lunch Table,WikidataRequestsfordeletionsArchive20171217.json || Artist of Black Lunch Table,11,Anonymous_username_968 ; Anonymous_username_969 ; BrillLyle ; ChristianKl ; GerardM ; Heathart ; Jura1 ; MisterSynergy ; Pharos ; Sjoerddebruin ; ValterVB
WikidataRequestsfordeletionsArchive20190216.json,[[Q60511072]],WikidataRequestsfordeletionsArchive20190216.json || [[Q60511072]],11,Barkeep49 ; DeltaBot ; Huon ; Jura1 ; Lazypub ; Liuxinyu970226 ; Nick ; Praxidicae ; VIGNERON ; Wolverène ; علاء
WikidataRequestsfordeletionsArchive20210220.json,[[Q105443300]],WikidataRequestsfordeletionsArchive20210220.json || [[Q105443300]],11,93.142.143.255 ; 93.143.94.225 ; ImprovedWikiImprovment ; Ladsgroup ; Mathieu Kappler ; Nattes à chat ; Nikki ; OwenBlacker ; Quakewoody ; Trade ; UWashPrincipalCataloger
WikidataRequestsfordeletionsArchive20210619.json,[[Q107028529]],WikidataRequestsfordeletionsArchive20210619.json || [[Q107028529]],11,AlexCardone ; Carldesselr ; DeltaBot ; Emu ; Fralambert ; Jafarebadi ; MERLINMAR ; Robflick ; WMEOIRHGU ; WMEOIRHGU ) ; Whym
WikidataRequestsfordeletionsArchive20130215.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130215.json || Bulk deletion request: Empty items,10,Ajraddatz ; Bináris ; Jdforrester ; Legobot ; Lukas²³ ; NuvieK ; Stryn ; TBloemink ; Techman224 ; Wiki13
WikidataRequestsfordeletionsArchive20130317.json,Bulk deletion request: Empty items,WikidataRequestsfordeletionsArchive20130317.json || Bulk deletion request: Empty items,10,Delusion23 ; Hazard-SJ ; Jon Harald Søby ; LadyInGrey ; Legobot ; Sven Manguard ; ValterVB ; Wagino 20100516 ; Ymblanter ; 분당선M
