reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid,selected_area_name,index_edge,edge_id,u,v,length,snap_distance_m,geometry_wkt
120009062,2012-01-07,430375,433514,1030,2012,2012.csv,2012_120009062,leeds_central_selected_box,472,472,9755805559,26299410,170.42537349703704,22.086051142317658,POINT (430375 433514)
120020522,2012-01-14,430398,433640,1020,2012,2012.csv,2012_120020522,leeds_central_selected_box,446,446,7275677007,9755805529,137.53395501993538,0.6044188930859858,POINT (430398 433640)
120022848,2012-01-16,430269,433755,739,2012,2012.csv,2012_120022848,leeds_central_selected_box,501,501,26298474,26296951,223.60761774821097,65.42076880924762,POINT (430269 433755)
120028885,2012-01-19,430656,433718,1255,2012,2012.csv,2012_120028885,leeds_central_selected_box,486,486,643945,9823132,196.5443943255206,1.163729413505701,POINT (430656 433718)
120041527,2012-01-27,430393,433608,1310,2012,2012.csv,2012_120041527,leeds_central_selected_box,445,445,9755805529,7275677007,137.53395501993538,4.073490960116324,POINT (430393 433608)
120042973,2012-01-27,430879,433359,1800,2012,2012.csv,2012_120042973,leeds_central_selected_box,143,143,659985459,643851,27.380908255451274,1.315644005873106,POINT (430879 433359)
120049784,2012-02-01,430380,433567,1235,2012,2012.csv,2012_120049784,leeds_central_selected_box,509,509,9755805529,342579538,256.18393489727134,18.15071910328021,POINT (430380 433567)
120050598,2012-01-29,430454,433955,2300,2012,2012.csv,2012_120050598,leeds_central_selected_box,13,13,52350425,52351597,5.923358280563039,0.3506628846161975,POINT (430454 433955)
120052192,2012-02-03,430415,433704,910,2012,2012.csv,2012_120052192,leeds_central_selected_box,446,446,7275677007,9755805529,137.53395501993538,3.7002355421218303,POINT (430415 433704)
120056329,2012-02-06,430436,433966,920,2012,2012.csv,2012_120056329,leeds_central_selected_box,15,15,10624200323,10624200325,6.033421390114462,0.22008349139079827,POINT (430436 433966)
120074400,2012-02-17,430686,434136,1706,2012,2012.csv,2012_120074400,leeds_central_selected_box,409,409,304904880,3071035464,101.56689113159946,3.4310869271597286,POINT (430686 434136)
120085863,2012-02-24,430080,433883,1505,2012,2012.csv,2012_120085863,leeds_central_selected_box,421,421,9077392916,9405615106,113.45850285449133,1.6451242789007998,POINT (430080 433883)
120091076,2012-02-25,429921,434146,1005,2012,2012.csv,2012_120091076,leeds_central_selected_box,510,510,5518536459,342647082,275.14813745657364,2.8568439170872475,POINT (429921 434146)
120095078,2012-03-01,430872,434204,920,2012,2012.csv,2012_120095078,leeds_central_selected_box,332,332,9823212,395469503,68.64906028345084,0.35596937900568365,POINT (430872 434204)
120120080,2012-03-15,430630,434222,1110,2012,2012.csv,2012_120120080,leeds_central_selected_box,189,189,250961842,52161947,33.36420546994788,1.6955028158608811,POINT (430630 434222)
120121830,2012-03-17,429910,433953,1021,2012,2012.csv,2012_120121830,leeds_central_selected_box,483,483,44977061,342660327,183.67993249100095,0.16671174548324003,POINT (429910 433953)
120139215,2012-03-28,430382,433580,950,2012,2012.csv,2012_120139215,leeds_central_selected_box,509,509,9755805529,342579538,256.18393489727134,5.0108082644280705,POINT (430382 433580)
120139844,2012-03-27,430455,433681,1505,2012,2012.csv,2012_120139844,leeds_central_selected_box,505,505,26298423,7275677007,238.79432675244604,28.067083667865152,POINT (430455 433681)
120140240,2012-03-28,430446,433936,1454,2012,2012.csv,2012_120140240,leeds_central_selected_box,121,121,52351597,1743296708,23.894325976312523,0.8405253887930774,POINT (430446 433936)
120140338,2012-03-28,430456,433926,1800,2012,2012.csv,2012_120140338,leeds_central_selected_box,508,508,370191920,1743296708,250.00232326583466,0.8640359910285891,POINT (430456 433926)
120143351,2012-03-30,430268,433744,1325,2012,2012.csv,2012_120143351,leeds_central_selected_box,501,501,26298474,26296951,223.60761774821097,75.84715791028695,POINT (430268 433744)
120144505,2012-03-30,429911,433795,2340,2012,2012.csv,2012_120144505,leeds_central_selected_box,520,520,244150453,244150453,353.0936230944196,61.729483997385735,POINT (429911 433795)
120147260,2012-04-02,430420,433732,953,2012,2012.csv,2012_120147260,leeds_central_selected_box,502,502,7275677007,4540786888,227.2793572617666,10.406022289413905,POINT (430420 433732)
120149769,2012-04-02,430829,433823,1250,2012,2012.csv,2012_120149769,leeds_central_selected_box,527,527,358204009,1152092828,622.3490506781505,2.036724700126446,POINT (430829 433823)
120152067,2012-04-05,430668,433650,843,2012,2012.csv,2012_120152067,leeds_central_selected_box,230,230,26300437,643907,40.461182526882155,2.2459334012005066,POINT (430668 433650)
120157142,2012-04-09,429915,434257,1410,2012,2012.csv,2012_120157142,leeds_central_selected_box,220,220,298186515,21545961,39.153178725936,0.4995238193408835,POINT (429915 434257)
120165739,2012-04-15,430448,433456,1140,2012,2012.csv,2012_120165739,leeds_central_selected_box,454,454,301688528,9319419235,144.30974828451104,0.8183160828796301,POINT (430448 433456)
120169305,2012-04-17,430806,433453,1555,2012,2012.csv,2012_120169305,leeds_central_selected_box,251,251,5728993707,6309354601,43.48632038556236,7.87897293597601,POINT (430806 433453)
120170118,2012-04-18,429924,434247,830,2012,2012.csv,2012_120170118,leeds_central_selected_box,364,364,8663865756,298186515,83.50095203252064,1.0322947182170332,POINT (429924 434247)
120170957,2012-04-15,430684,433451,1500,2012,2012.csv,2012_120170957,leeds_central_selected_box,419,419,5728993698,10563335054,111.65128131056491,0.2901376895479557,POINT (430684 433451)
120173652,2012-04-20,429904,433480,1015,2012,2012.csv,2012_120173652,leeds_central_selected_box,479,479,10103026390,4697333827,180.5006780671296,73.59116244012995,POINT (429904 433480)
120178552,2012-04-23,430016,434095,1330,2012,2012.csv,2012_120178552,leeds_central_selected_box,380,380,342660327,3887608931,88.9330599962251,3.5743050766126303,POINT (430016 434095)
120183864,2012-04-26,430339,433387,1400,2012,2012.csv,2012_120183864,leeds_central_selected_box,405,405,9755805559,10563335063,99.79032761334132,12.02328092000741,POINT (430339 433387)
120193578,2012-05-03,430727,433587,1145,2012,2012.csv,2012_120193578,leeds_central_selected_box,470,470,1022749752,26661432,166.31425281718725,0.7836860899809592,POINT (430727 433587)
120193856,2012-05-03,430441,433291,1315,2012,2012.csv,2012_120193856,leeds_central_selected_box,444,444,643929,643930,136.29531967869966,0.15911999220288997,POINT (430441 433291)
120196914,2012-05-05,429797,433826,1115,2012,2012.csv,2012_120196914,leeds_central_selected_box,207,207,9791509,10981685393,37.655581780472595,60.038254835229424,POINT (429797 433826)
120197343,2012-05-05,430621,433454,1535,2012,2012.csv,2012_120197343,leeds_central_selected_box,419,419,5728993698,10563335054,111.65128131056491,2.5746478389300744,POINT (430621 433454)
120198532,2012-05-06,429852,433659,1359,2012,2012.csv,2012_120198532,leeds_central_selected_box,520,520,244150453,244150453,353.0936230944196,36.66225417043958,POINT (429852 433659)
120199961,2012-05-07,429885,433408,2325,2012,2012.csv,2012_120199961,leeds_central_selected_box,406,406,9791130,11264550802,100.67493234189126,6.552757330052131,POINT (429885 433408)
120204644,2012-05-10,430785,433453,1635,2012,2012.csv,2012_120204644,leeds_central_selected_box,433,433,342628235,682264890,123.18100276734256,0.6295966653096551,POINT (430785 433453)
120216660,2012-05-16,430355,433445,1645,2012,2012.csv,2012_120216660,leeds_central_selected_box,404,404,10563335063,9755805559,99.79032761334132,1.472832571254454,POINT (430355 433445)
120218929,2012-05-19,429829,433403,1715,2012,2012.csv,2012_120218929,leeds_central_selected_box,406,406,9791130,11264550802,100.67493234189126,1.2506612962205985,POINT (429829 433403)
120226575,2012-05-24,430044,434023,1150,2012,2012.csv,2012_120226575,leeds_central_selected_box,388,388,342660331,342660345,92.71161578552349,0.8158294736516485,POINT (430044 434023)
120234401,2012-05-29,430701,433606,1100,2012,2012.csv,2012_120234401,leeds_central_selected_box,469,469,301689321,26300437,164.68144005287118,0.50422990536209,POINT (430701 433606)
120235442,2012-05-29,429933,433540,1451,2012,2012.csv,2012_120235442,leeds_central_selected_box,479,479,10103026390,4697333827,180.5006780671296,41.07510581886237,POINT (429933 433540)
120236987,2012-05-30,429796,433788,2330,2012,2012.csv,2012_120236987,leeds_central_selected_box,520,520,244150453,244150453,353.0936230944196,52.394835564021236,POINT (429796 433788)
120238291,2012-05-30,430778,433479,840,2012,2012.csv,2012_120238291,leeds_central_selected_box,321,321,26661432,342628235,63.098926087435515,2.07473788612148,POINT (430778 433479)
120242748,2012-06-03,430791,433470,2355,2012,2012.csv,2012_120242748,leeds_central_selected_box,321,321,26661432,342628235,63.098926087435515,7.194506248782623,POINT (430791 433470)
120263152,2012-06-12,430426,433962,1128,2012,2012.csv,2012_120263152,leeds_central_selected_box,523,523,370191920,52162718,424.3155122347921,1.9343936892206977,POINT (430426 433962)
120265237,2012-06-19,430039,434050,1715,2012,2012.csv,2012_120265237,leeds_central_selected_box,388,388,342660331,342660345,92.71161578552349,1.8849096128841796,POINT (430039 434050)
120281894,2012-06-16,430391,433479,910,2012,2012.csv,2012_120281894,leeds_central_selected_box,315,315,301688528,9755805559,61.33221890048015,2.5494685161885764,POINT (430391 433479)
120286209,2012-07-03,430380,433579,1040,2012,2012.csv,2012_120286209,leeds_central_selected_box,509,509,9755805529,342579538,256.18393489727134,6.429373907239637,POINT (430380 433579)
120292063,2012-07-06,430008,434157,1505,2012,2012.csv,2012_120292063,leeds_central_selected_box,462,462,52728502,52732399,152.46971057129835,1.525713407964533,POINT (430008 434157)
120297170,2012-07-10,430016,434150,808,2012,2012.csv,2012_120297170,leeds_central_selected_box,337,337,4936807738,52732247,69.62852482628156,2.6220834636672974,POINT (430016 434150)
120301346,2012-07-12,430876,433358,1555,2012,2012.csv,2012_120301346,leeds_central_selected_box,143,143,659985459,643851,27.380908255451274,0.27757007479548307,POINT (430876 433358)
120304783,2012-07-14,430595,433431,1656,2012,2012.csv,2012_120304783,leeds_central_selected_box,396,396,342579502,5728993698,95.7197650342194,1.6220499409095082,POINT (430595 433431)
120311517,2012-07-18,430785,433450,830,2012,2012.csv,2012_120311517,leeds_central_selected_box,433,433,342628235,682264890,123.18100276734256,0.38110883503338816,POINT (430785 433450)
120316659,2012-07-21,430718,434127,1330,2012,2012.csv,2012_120316659,leeds_central_selected_box,430,430,304904880,52167520,118.69526123500734,0.5553752945433551,POINT (430718 434127)
120318017,2012-07-23,430639,433678,1030,2012,2012.csv,2012_120318017,leeds_central_selected_box,119,119,26298423,4540786888,23.221402295762292,1.234793122522483,POINT (430639 433678)
120323327,2012-07-26,430402,433668,1100,2012,2012.csv,2012_120323327,leeds_central_selected_box,446,446,7275677007,9755805529,137.53395501993538,1.58696546455677,POINT (430402 433668)
120324460,2012-07-27,430876,434235,845,2012,2012.csv,2012_120324460,leeds_central_selected_box,332,332,9823212,395469503,68.64906028345084,0.5322559681970607,POINT (430876 434235)
120328178,2012-07-29,430348,433417,2010,2012,2012.csv,2012_120328178,leeds_central_selected_box,405,405,9755805559,10563335063,99.79032761334132,3.031865538538602,POINT (430348 433417)
120334460,2012-08-02,430773,433332,1315,2012,2012.csv,2012_120334460,leeds_central_selected_box,192,192,682264890,26661423,33.83037827996361,3.830915599648822,POINT (430773 433332)
120348781,2012-08-11,430774,433447,1634,2012,2012.csv,2012_120348781,leeds_central_selected_box,425,425,682264890,643914,116.05711449409321,0.09957348743138023,POINT (430774 433447)
120352872,2012-08-13,430785,433452,1820,2012,2012.csv,2012_120352872,leeds_central_selected_box,433,433,342628235,682264890,123.18100276734256,0.5467673885508995,POINT (430785 433452)
120366134,2012-08-22,430060,433648,1720,2012,2012.csv,2012_120366134,leeds_central_selected_box,514,514,9405615106,921265743,300.8213037842363,0.07426963277082388,POINT (430060 433648)
120366693,2012-08-23,430784,433340,45,2012,2012.csv,2012_120366693,leeds_central_selected_box,198,198,6047609602,682264890,35.00902025049308,0.4973377957235816,POINT (430784 433340)
120371071,2012-08-26,430045,433940,151,2012,2012.csv,2012_120371071,leeds_central_selected_box,196,196,1600382025,4029217601,34.26195806845043,0.4496113613791598,POINT (430045 433940)
120373866,2012-08-28,430885,433363,955,2012,2012.csv,2012_120373866,leeds_central_selected_box,27,27,643851,1020737601,7.979067037711693,1.9330037334775714,POINT (430885 433363)
120381146,2012-09-01,429885,433397,1748,2012,2012.csv,2012_120381146,leeds_central_selected_box,406,406,9791130,11264550802,100.67493234189126,4.434230543372747,POINT (429885 433397)
120407441,2012-09-20,430475,433750,900,2012,2012.csv,2012_120407441,leeds_central_selected_box,371,371,26298428,26298429,85.94352496745043,0.3219701416172448,POINT (430475 433750)
120407492,2012-09-20,430143,434240,759,2012,2012.csv,2012_120407492,leeds_central_selected_box,518,518,49556023,4936807738,315.2122282622382,3.7076012550601325,POINT (430143 434240)
120414470,2012-09-24,430636,433692,2040,2012,2012.csv,2012_120414470,leeds_central_selected_box,119,119,26298423,4540786888,23.221402295762292,1.6671933181668732,POINT (430636 433692)
120417171,2012-09-26,430207,433396,238,2012,2012.csv,2012_120417171,leeds_central_selected_box,481,481,10103026366,11729210421,182.83806989374193,0.32621678777818847,POINT (430207 433396)
120417522,2012-09-26,430873,434251,1230,2012,2012.csv,2012_120417522,leeds_central_selected_box,352,352,8674727247,304904881,76.04793211837946,4.1249025093030465,POINT (430873 434251)
120419885,2012-09-28,430681,433702,1235,2012,2012.csv,2012_120419885,leeds_central_selected_box,258,258,643945,6211583013,44.53501336833969,4.4342561536764125,POINT (430681 433702)
120435427,2012-10-08,430456,433954,2130,2012,2012.csv,2012_120435427,leeds_central_selected_box,97,97,52351597,52162805,19.157165208172735,1.4792413782880225,POINT (430456 433954)
120436725,2012-10-09,430346,434192,1435,2012,2012.csv,2012_120436725,leeds_central_selected_box,484,484,52162718,301673098,189.52655361215926,0.36406834333091365,POINT (430346 434192)
120437761,2012-10-09,430171,433393,1400,2012,2012.csv,2012_120437761,leeds_central_selected_box,481,481,10103026366,11729210421,182.83806989374193,1.9630368215967517,POINT (430171 433393)
120440506,2012-10-11,430015,434128,200,2012,2012.csv,2012_120440506,leeds_central_selected_box,275,275,3887608931,52732247,48.5447851251745,5.818271125155738,POINT (430015 434128)
120452226,2012-10-19,430378,433503,1334,2012,2012.csv,2012_120452226,leeds_central_selected_box,472,472,9755805559,26299410,170.42537349703704,13.603533754189726,POINT (430378 433503)
120455341,2012-10-21,430073,433935,405,2012,2012.csv,2012_120455341,leeds_central_selected_box,54,54,4029217601,342660313,10.908734486549458,0.7132400228462089,POINT (430073 433935)
120456432,2012-10-22,429913,434258,855,2012,2012.csv,2012_120456432,leeds_central_selected_box,220,220,298186515,21545961,39.153178725936,0.6552107885700728,POINT (429913 434258)
120466278,2012-10-25,430216,434368,1610,2012,2012.csv,2012_120466278,leeds_central_selected_box,309,309,1303879422,4621500996,58.77558131860499,1.5286675153631977,POINT (430216 434368)
120467209,2012-10-26,430102,433369,917,2012,2012.csv,2012_120467209,leeds_central_selected_box,481,481,10103026366,11729210421,182.83806989374193,4.50878792067095,POINT (430102 433369)
120468045,2012-10-26,430438,433449,1914,2012,2012.csv,2012_120468045,leeds_central_selected_box,454,454,301688528,9319419235,144.30974828451104,8.702991490389044,POINT (430438 433449)
120471770,2012-10-28,430333,433389,2330,2012,2012.csv,2012_120471770,leeds_central_selected_box,405,405,9755805559,10563335063,99.79032761334132,9.32151405629501,POINT (430333 433389)
120471999,2012-10-29,430079,433935,1635,2012,2012.csv,2012_120471999,leeds_central_selected_box,268,268,342660345,342660313,47.304286058402916,0.026189932935139763,POINT (430079 433935)
120473934,2012-10-30,429912,433930,845,2012,2012.csv,2012_120473934,leeds_central_selected_box,436,436,26298479,44977061,126.29868429331334,0.5643766360264009,POINT (429912 433930)
120475399,2012-11-01,430064,433780,235,2012,2012.csv,2012_120475399,leeds_central_selected_box,515,515,921265743,9405615106,300.8213037842363,0.05129076246282563,POINT (430064 433780)
120477567,2012-10-13,429945,433296,2053,2012,2012.csv,2012_120477567,leeds_central_selected_box,487,487,52889936,9792428,197.9956330946219,26.07161184761321,POINT (429945 433296)
120479215,2012-11-03,430701,433628,1310,2012,2012.csv,2012_120479215,leeds_central_selected_box,470,470,1022749752,26661432,166.31425281718725,3.0870679999607322,POINT (430701 433628)
120482010,2012-11-05,430656,433665,1248,2012,2012.csv,2012_120482010,leeds_central_selected_box,80,80,643907,26298423,15.623148180699715,0.13897518343145027,POINT (430656 433665)
120486988,2012-11-08,429927,434278,1504,2012,2012.csv,2012_120486988,leeds_central_selected_box,183,183,664210230,1377189433,32.20235526898455,2.0635458543454748,POINT (429927 434278)
120488867,2012-11-09,430478,433455,1646,2012,2012.csv,2012_120488867,leeds_central_selected_box,454,454,301688528,9319419235,144.30974828451104,0.05590531879342606,POINT (430478 433455)
120490517,2012-11-10,430035,434056,2200,2012,2012.csv,2012_120490517,leeds_central_selected_box,388,388,342660331,342660345,92.71161578552349,0.37643431407464906,POINT (430035 434056)
120490984,2012-11-11,430451,433944,750,2012,2012.csv,2012_120490984,leeds_central_selected_box,121,121,52351597,1743296708,23.894325976312523,0.004308204935774351,POINT (430451 433944)
120492608,2012-11-12,430188,433964,1127,2012,2012.csv,2012_120492608,leeds_central_selected_box,375,375,52167239,342660306,87.481879978318,0.6400838200025174,POINT (430188 433964)
120495157,2012-11-13,430352,433723,1616,2012,2012.csv,2012_120495157,leeds_central_selected_box,446,446,7275677007,9755805529,137.53395501993538,60.86417850926307,POINT (430352 433723)
120503060,2012-11-18,430253,433402,450,2012,2012.csv,2012_120503060,leeds_central_selected_box,475,475,643933,10103026371,174.1234923800386,22.262374892840594,POINT (430253 433402)
120522513,2012-12-01,429800,433923,5,2012,2012.csv,2012_120522513,leeds_central_selected_box,427,427,9791509,44977061,116.86803311885018,0.8871030876366754,POINT (429800 433923)
120532843,2012-12-07,429983,434064,2315,2012,2012.csv,2012_120532843,leeds_central_selected_box,380,380,342660327,3887608931,88.9330599962251,42.24092435719834,POINT (429983 434064)
120534836,2012-12-09,429795,433796,1040,2012,2012.csv,2012_120534836,leeds_central_selected_box,520,520,244150453,244150453,353.0936230944196,60.457043125992676,POINT (429795 433796)
120535837,2012-12-09,429985,433396,30,2012,2012.csv,2012_120535837,leeds_central_selected_box,479,479,10103026390,4697333827,180.5006780671296,0.3423754146069672,POINT (429985 433396)
120535924,2012-12-08,430142,433764,1340,2012,2012.csv,2012_120535924,leeds_central_selected_box,262,262,9405615106,244449799,45.27919351361295,34.20269141015241,POINT (430142 433764)
120545685,2012-12-16,430241,433398,350,2012,2012.csv,2012_120545685,leeds_central_selected_box,475,475,643933,10103026371,174.1234923800386,9.917853002250842,POINT (430241 433398)
120545842,2012-12-16,430325,433290,308,2012,2012.csv,2012_120545842,leeds_central_selected_box,466,466,643930,643933,160.7492705373795,11.319149819606599,POINT (430325 433290)
120549240,2012-12-18,429815,433404,1312,2012,2012.csv,2012_120549240,leeds_central_selected_box,465,465,30822834,9791129,157.84977429164084,1.044921287384966,POINT (429815 433404)
120549758,2012-12-19,430859,434153,835,2012,2012.csv,2012_120549758,leeds_central_selected_box,229,229,395469503,13030649306,40.02752930708635,4.637811304843526,POINT (430859 434153)
120559644,2012-12-27,430388,433607,1138,2012,2012.csv,2012_120559644,leeds_central_selected_box,446,446,7275677007,9755805529,137.53395501993538,0.4744337879219079,POINT (430388 433607)
120564333,2012-12-31,430186,433934,1713,2012,2012.csv,2012_120564333,leeds_central_selected_box,375,375,52167239,342660306,87.481879978318,0.4194469011423222,POINT (430186 433934)
130012900,2013-01-09,430266,433985,1800,2013,2013.csv,2013_130012900,leeds_central_selected_box,491,491,52167638,52167239,203.5237206461513,1.3271623854289918,POINT (430266 433985)
130019050,2013-01-14,430839,433997,735,2013,2013.csv,2013_130019050,leeds_central_selected_box,412,412,249813619,26298445,103.48742215979118,0.7262978835165919,POINT (430839 433997)
130023385,2013-01-16,430374,433485,2015,2013,2013.csv,2013_130023385,leeds_central_selected_box,404,404,10563335063,9755805559,99.79032761334132,1.9301368064440811,POINT (430374 433485)
130023395,2013-01-16,429794,433923,2100,2013,2013.csv,2013_130023395,leeds_central_selected_box,357,357,250853699,9791509,79.93367122122301,0.588028955773918,POINT (429794 433923)
130026506,2013-01-18,430877,433880,2100,2013,2013.csv,2013_130026506,leeds_central_selected_box,418,418,1591373213,26298441,110.8460975604765,0.09004180146829424,POINT (430877 433880)
130035563,2013-01-25,430549,433450,835,2013,2013.csv,2013_130035563,leeds_central_selected_box,454,454,301688528,9319419235,144.30974828451104,2.0837313378276514,POINT (430549 433450)
130048841,2013-02-02,430232,433349,320,2013,2013.csv,2013_130048841,leeds_central_selected_box,475,475,643933,10103026371,174.1234923800386,2.251218900457091,POINT (430232 433349)
130064764,2013-02-12,430361,433439,1630,2013,2013.csv,2013_130064764,leeds_central_selected_box,404,404,10563335063,9755805559,99.79032761334132,6.323166551724055,POINT (430361 433439)
130067415,2013-02-12,430122,434386,2000,2013,2013.csv,2013_130067415,leeds_central_selected_box,459,459,5751843770,52681726,148.0285163949956,1.774848371409274,POINT (430122 434386)
130076068,2013-02-19,430851,434075,828,2013,2013.csv,2013_130076068,leeds_central_selected_box,325,325,11862438640,395469494,65.24390730838817,0.6221993015140976,POINT (430851 434075)
130079762,2013-02-21,430840,433466,2035,2013,2013.csv,2013_130079762,leeds_central_selected_box,403,403,342628235,5728993689,99.67890347758987,4.990921624924751,POINT (430840 433466)
130090039,2013-02-28,430443,433718,2200,2013,2013.csv,2013_130090039,leeds_central_selected_box,502,502,7275677007,4540786888,227.2793572617666,0.47884247455253637,POINT (430443 433718)
130090045,2013-02-28,430660,433926,2245,2013,2013.csv,2013_130090045,leeds_central_selected_box,415,415,9791722,26298435,104.28285134329815,2.510349180216217,POINT (430660 433926)
130090846,2013-02-28,430327,433897,1705,2013,2013.csv,2013_130090846,leeds_central_selected_box,455,455,342660306,26296951,145.47671249676634,2.070278654343169,POINT (430327 433897)
